GRADUATEYEAR,STUDENTID,AlgorithmDesignandAnalysis,ArtificialIntelligence,CalculusforScience,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,ComputerArchitecture,ComputerNetworkAndDataCommunication,DataMiningTechniques,DataScience,DataStructure,DatabaseSystems,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,DiscreteMathematicsForComputerScience,EnergyAndTechnologyAroundUs,EnglishCriticalReadingForEffectiveCommunication,EnglishWritingForEffectiveCommunication,FundamentalEnglish,FundamentalLawsForQualityOfLife,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LanguageSocietyAndCulture,LifePrivacy,LifeSkills,LifeAndHealth,LinearAlgebraAndApplications,ManAndEnvironment,MathematicsForScience,MobileApplicationDevelopment,MultimediaApplicationDevelopment,MultimediaAnd WebTechnology,MusicStudiesInThaiCulture,ObjectOrientedProgramming,OperatingSystems,PhilosophyOfScience,PoliticsEconomyandSociety,ProgrammingLanguages,Seminar ,SensingAndActuationForInternetOfThings,SoftwareEngineering,SpecialTopicsInComputerScience,StatisticalAnalysis,SystemAnalysisAndDesign,ThaiLanguageSkills,GPAgraduate
2565,100239502,D,C,D,B,C+,B,F,D,,,D,C,D+,,,D,D+,A,B+,A,C+,C+,,D+,,,D+,,B+,,,B,F,C,A,D+,A,F,C,C+,,C+,D+,,C+,D+,F,D+,B,2.08
2563,100239505,C,C+,F,B+,B,B+,B,C,C+,,D+,B+,A,,,C,B+,A,C,A,B+,B,,,,,C,,A,,,B,D+,B,B+,B+,B,C,C,C+,,C,A,,D,,C,B,C+,2.6
2562,100239535,D+,D,D,B,C+,C+,C+,C,B,,D+,B,A,,,B,B+,A,C,A,C+,C+,,,,,D+,,,,,B+,D+,B,,B,,C,C,B+,B+,B,B+,,C+,C+,D,B,B,2.39
2562,100239556,C,B+,F,B,B,C+,D+,C,B+,,C,C+,A,,,C,C+,B,C+,B,C+,A,,,,B,B,,,,,B+,D+,B+,,C,,C+,C+,C+,B,C+,B+,,B,C+,D+,C+,B,2.51
2562,100239593,F,D,F,A,A,C+,B+,F,C,,A,B,A,,,B+,B,A,C+,A,B+,A,,,,D,C+,,,,,A,D+,B+,,B+,,A,C+,C,B,C+,B,,D+,D+,D+,C+,B+,2.47
2562,100239596,C+,B+,D+,C+,D,D+,C,D+,C+,,D+,B,A,,,C+,B,B,C,B,B,B+,,,,B,C,,,,,A,D+,,B+,C+,A,B,C+,B,B,C+,B,,C,,B+,B,C+,2.59
2562,100239598,B,A,D,A,A,A,B+,C,B,,C+,A,A,,,B,B+,A,C+,A,B+,B+,,,,A,C+,,A,,,A,D+,B,B,B,A,B,C+,C+,,B+,B+,,B,,B,A,B,3.07
2562,100239606,D+,C,D+,D+,C,D,D+,D+,C+,,D,D,C,,,D+,B,C,C,C,C+,C,,,,,C+,,A,,,B,F,,B,C+,,D,C,C+,,C,B,,D,,D,D,B,2.01
2562,100239620,C,B,D+,B,C,B+,D+,C,B+,,C+,A,B+,,,C+,B,A,C,A,A,B,,,,A,B,,A,,,B+,D+,B,,C+,A,C+,C+,C+,,B,B+,,C,,C+,B+,C+,2.8
2562,100239626,C,C+,F,C+,D+,C+,D+,D+,B,,D+,B,C+,,,B,C+,C,D,C,B+,B+,,,,B+,C,,,,,B+,D,,,D+,,C,C,C+,B,D+,B+,,D+,C+,C,B+,B,2.27
2562,100239666,C,B,D+,B,C+,B,D+,C,B+,,C,C+,B+,,,B,B,C+,D+,C+,C+,C+,,,,B,C+,,,,,B+,D+,,,C,,C,C,C,B,C+,B+,,D+,C+,A,B+,B,2.49
2562,100239667,C+,B,C,C,C,C,D+,C,C+,,D,B,C+,,,C,B,B+,C,B+,C+,A,,,,B+,C+,,B+,,,B+,C,B+,,B,C,A,C,C+,,C+,B+,,D+,,D+,B,B,2.44
2562,100239668,C,C,C,A,B+,B,D+,C,B,,D,B,B,,,C,B+,A,C+,A,B,C+,,,,B+,C+,,A,,,B+,F,B+,,C+,,C+,C,C+,,B+,A,,C,,D+,B,B,2.52
2562,100239684,C+,B,A,B,C+,B,C,C,C+,,D+,B+,B,,,B+,B,B+,C,B+,C,C+,,,,B,C+,,,,,B+,B+,,,B,B+,C,C,C+,B+,C+,A,,D+,,C+,B,C+,2.67
2564,100239685,B,C+,F,B+,A,C+,C+,D+,A,,C+,B+,A,,,B,A,A,C,A,B+,C+,,,,B+,C+,,A,,,A,D,C+,B+,B+,B+,C,B,B+,,B,C+,,C,,D+,B+,B+,2.82
2562,100239696,D,B+,D+,C,B,D+,D,C,C+,,D,D+,B+,,,C,B,B,B,B,C+,C,,,,,C+,,,,,C+,D,,B,C+,,D,C,C+,C,D+,B+,,D+,C,D,B,B,2.14
2562,100239699,B,B,D+,B+,B+,B+,A,C,C+,,D+,A,A,,,B+,B+,A,C+,A,B,A,,,,C,C+,,,,,B+,C+,A,,C,,A,C,C+,B+,B+,C+,,B+,C+,B,B+,B,2.88
2562,100239728,C,C,D+,C+,A,C+,D,C,C+,,D,C,B+,,,D+,C+,B+,B,B+,C+,C+,,,,,C+,,,,,C+,F,,B,B,A,D,C,C,C+,C,B,,D+,C+,D+,B,B,2.31
2562,100239743,C,C+,D+,C,B,B,C+,D,B,,C+,C+,A,,,C,C+,B+,C,B+,C+,C,,,,C,C+,,,,,B+,D+,C+,,C+,B+,D,C,C+,C+,B,A,,D+,,D+,C,C+,2.18
2562,100239751,A,A,B,A,A,A,A,B+,B,,A,B+,A,,,A,A,A,A,A,A,A,,,,B+,B,,A,,,A,B,A,B+,A,A,A,B+,B,,A,A,,A,A,A,A,B+,3.79
2562,100239765,A,B,B,C+,B,C,B+,C,A,,D+,C+,B,,,B+,A,B,C,B,B,B,,,,A,C+,,B+,,,B,A,,A,B+,B,B+,C,B,,B,B,,C+,,A,C,B+,3.04
2562,100239799,C,B,C+,C+,C,D+,C+,C,C,,C,A,B+,,,B,A,C,D,C,C+,B+,,,,,C,,A,,,A,C,C+,B,C+,A,C+,C,C+,,C,B+,,D+,,B+,B,B,2.78
2562,100239815,C,B+,D+,B+,C+,C+,D,C,C+,,D,B+,A,,,C,B+,B+,C,B+,B,C+,,,,C+,B,,A,,,B+,D,B,,C,B+,D,C,C+,,C,A,,B+,,C,A,B,2.58
2563,100239827,D+,D,F,D+,D,D+,D+,D,C+,,D,F,A,,,C,C+,D+,B+,D+,C,D+,,,,,C+,,B,,,B,D,,B,C,A,F,C,C,,C,C+,,D,,F,D+,C+,2
2563,100239844,C,C+,F,B,C+,C+,D+,D,C+,,D,B+,C,,,C,B,B,C,B,C+,C+,,,,,F,,D+,,,B+,F,,B,C,B,D,C+,C,,B,C,,D+,C,D,D+,B,2.17
2562,100239854,C,C,D+,D+,C+,C+,D+,C,C+,,D+,C+,B+,,,C+,B,B+,B,B+,B,C+,,,,D+,C+,,C+,,,B,F,C+,,C+,A,C,C,C+,,B,A,,C+,,D+,B,B,2.36
2562,100239887,A,A,A,A,A,A,A,A,A,,A,A,A,,,A,B+,A,A,A,B,A,,,,A,C+,,,,,A,A,A,,A,,A,A,C+,B+,A,A,,A,A,A,A,B+,3.78
2562,100239895,C+,D+,D+,C+,C+,C,B+,C,C+,,C+,D+,B,,,B,B,C+,C,C+,B,C+,,,,B+,C,,,,,B+,C,C+,,C,,C,D+,C+,C,B,B,,C+,,C+,C,C+,2.29
2564,100239901,D,D,F,D+,C+,D+,D+,D,D+,,D,D,B,,,D+,C+,D+,C,D+,C,C,,,,,C,,B+,,,B+,F,C,B,D+,B,F,C,C,,B,D+,,C,,F,C,B,2.03
2562,100239902,C,B,D+,A,B+,C+,C+,C,A,,C+,C,B+,,,C+,B,B,C,B,B+,C+,,,,,D+,,,,,C+,D,B,,B,,B+,A,C+,C+,B,B,,B+,B,D+,B+,C+,2.55
2562,100239914,C,C+,D,D+,C+,C,C,C,B,,D,D+,A,,,B,B,C,D+,C,D+,C+,,,,C+,B+,,A,,,B+,D+,C,,C,B,C,C,C+,,B,A,,C,,C+,B,C+,2.28
2562,100239934,C+,D+,D+,C,C+,C+,B,C,C,,C,C+,B+,,,C+,B,C+,D+,C+,B,A,,,,,C+,,,,,B+,D+,A,,C+,,B+,C+,C+,B,B,B,,C+,,C,C+,B,2.39
2566,100239968,C,C,D+,D,D,D,C,D+,C,,B,F,C,,,C+,B+,C,C,C,C+,C+,,,,,C,,A,,,B+,D,,B,D,,C,C+,B,,D+,B,,D,,D+,D+,B,2.01
2563,100239990,D,D+,F,A,C+,A,C,F,C+,,D,D+,B,,,C+,B,B,D+,B,C,D+,,,,,C,,B+,,,B+,F,,B,C+,,C,C,C,D+,C,C+,,C,C+,D+,B,C+,2.15
2562,100240018,C,D+,D,C+,B,C,C,D+,C+,,D,D,D+,,,C,B+,C+,B,C+,C+,C+,,,,B+,B,,A,,,B+,D,,B,C+,,C,C,C+,,C+,B,,D+,,C,C,B,2.19
2562,100240030,A,B+,C+,A,A,A,A,C,B,,C,B+,A,,,B+,B,A,C+,A,B+,B+,,,,A,C+,,,,,A,C,A,,B+,,A,C,C+,C,B+,B+,,B+,A,C+,B+,B+,3.08
2562,100240059,B+,B+,C+,B+,B,B+,A,C,C+,,A,B+,A,,,B+,A,B+,C+,B+,A,A,,,,B,B,,A,,,A,C,B+,,B+,A,A,C+,C+,,B,A,,B,C+,B,A,B+,3.25
2562,100240060,D,C,D+,A,A,C+,B,D+,C+,,D,C,A,,,B,B,A,B,A,C+,C+,,,,C,C,,,,,B+,D+,C,,C,A,B+,C,C+,C,C,B,,D+,,B+,C,B,2.36
2562,100240078,B,B,C,B,B,B,B,D+,C+,,C+,C+,C+,,,B,B+,C,D,C,C+,C+,,,,C,C+,,,,,B+,D,C+,C+,D+,,C,C,C+,A,D+,A,,C+,B+,D+,C,B,2.38
